e52	e23	x38	xv38	vinqi	vinqi_fonetik	pnzabi	xp38	guzraji	xg38	bNgali	xb38
a	a	a	vxi	है	ा	হৈ	vxi	হৈ	vxi		
abandon	abandon	abnqo	snnyas	संन्यास	ाबंदों	সংন্যাস	snnyas	সংন্যাস	snnyas		
ability	ability	ebiliti	yogyja	योग्यता	एबिलिटी	যোগ্যতা	yogyja	যোগ্যতা	yogyja		
able	able	xble	kabil	काबिल	अबले	কাবিল	kabil	কাবিল	kabil		
abortion	abortion	ebarSn	grBpaj	गर्भपात	एबॉर्शन	গর্ভপাত	grBpaj	গর্ভপাত	grBpaj		
about	about	xbaut	ke bare me	के बारे में	अबाउट	কে বারে মেং	ke bare me	কে বারে মেং	ke bare me		
above	abowe	xbowe	ke upr	के ऊपर	अबोवे	কে ঊপর	ke upr	কে ঊপর	ke upr		
abroad	abroad	xbrad	wiqeSi	विदेशी	अब्रॉड	঵িদেশী	wiqeSi	঵িদেশী	wiqeSi		
absence	absence	ebsens	xnupsJiji	अनुपस्थिति	एब्सेंस	অনুপস্থিতি	xnupsJiji	অনুপস্থিতি	xnupsJiji		
absolute	absolute	xbsolute	SuqQ	शुद्ध	अब्सोलुटे	শুদ্ধ	SuqQ	শুদ্ধ	SuqQ		
absolutely	absolutely	xbsolujely	bilkul	बिल्कुल	अब्सोलुतेल्य	বিল্কুল	bilkul	বিল্কুল	bilkul		
absorb	absorb	xbsarb	soK lena	सोख लेना	अब्सॉर्ब	সোখ লেনা	soK lena	সোখ লেনা	soK lena		
abuse	abuse	ebyuz	gali qena	गाली देना	एब्यूज	গালী দেনা	gali qena	গালী দেনা	gali qena		
academic	academic	xkaqmik	SxiSik	शैक्षिक	अकादमिक	শৈক্ষিক	SxiSik	শৈক্ষিক	SxiSik		
accept	accept	eksept	manna	मानना	एक्सेप्ट	মাননা	manna	মাননা	manna		
access	access	ekses	pvunc	पहुँच	एक्सेस	পহুঁচ	pvunc	পহুঁচ	pvunc		
accident	accident	eksident	qurGtna	दुर्घटना	एक्सीडेंट	দুর্ঘটনা	qurGtna	দুর্ঘটনা	qurGtna		
accompany	accompany	xikpeni	saJ	साथ	ैकपेनी	সাথ	saJ	সাথ	saJ		
accomplish	accomplish	xikpliS	pura krna	पूरा करना	ैकपलिश	পূরা করনা	pura krna	পূরা করনা	pura krna		
according	according	xkardiNg	xnusar	अनुसार	अकॉर्डिंग	অনুসার	xnusar	অনুসার	xnusar		
account	account	xkaunt	Kaja	खाता	अकाउंट	খাতা	Kaja	খাতা	Kaja		
accurate	accurate	ekyuret	stik	सटीक	एक्यूरेट	সটীক	stik	সটীক	stik		
accuse	accuse	xikse	qosi	दोषी	ैकसे	দোষী	qosi	দোষী	qosi		
achieve	achiewe	xciw	prapj krna	प्राप्त करना	अचीव	প্রাপ্ত করনা	prapj krna	প্রাপ্ত করনা	prapj krna		
