Word,Hindi Meaning
Clothes,कपड़े
Shirt,कमीज़
Pant,पैंट
Dress,पोशाक
Skirt,स्कर्ट
Coat,कोट
Jacket,जैकेट
Sweater,स्वेटर
Socks,मोज़े
Shoes,जूते
Boots,बूट
Hat,टोपी
Cap,कैप
Scarf,मफलर
Gloves,दस्ताने
Belt,कमरबंद
Tie,टाई
Uniform,वर्दी
Jewelry,आभूषण
Ring,अंगूठी
Necklace,हार
Earring,कान की बाली
Bracelet,कंगन
Watch,घड़ी
Spectacles,चश्मा
Bag,बैग
Wallet,बटुआ
Purse,पर्स
Umbrella,छाता
Raincoat,बरसाती
Food,भोजन
Rice,चावल
Wheat,गेहूँ
Bread,रोटी
Butter,मक्खन
Cheese,पनीर
Milk,दूध
Curd,दही
Egg,अंडा
Meat,मांस
Fish,मछली
Vegetable,सब्ज़ी
Potato,आलू
Tomato,टमाटर
Onion,प्याज़
Garlic,लहसुन
Ginger,अदरक
Carrot,गाजर
Cabbage,पत्ता गोभी
Cauliflower,फूलगोभी
Spinach,पालक
Peas,मटर
Beans,फलियाँ
Fruit,फल
Apple,सेब
Banana,केला
Mango,आम
Orange,संतरा
Grapes,अंगूर
Pineapple,अनानास
Papaya,पपीता
Guava,अमरूद
Pear,नाशपाती
Peach,आड़ू
Plum,आलूबुखारा
Cherry,चेरी
Strawberry,स्ट्रॉबेरी
Watermelon,तरबूज
Melon,खरबूजा
Coconut,नारियल
Date,खजूर
Fig,अंजीर
Pomegranate,अनार
Lemon,नींबू
Sugar,चीनी
Salt,नमक
Spice,मसाला
Oil,तेल
Tea,चाय
Coffee,कॉफ़ी
Juice,रस
Water,पानी
Drink,पेय
Soup,सूप
Sweet,मिठाई
Chocolate,चॉकलेट
Ice cream,आइसक्रीम
Cake,केक
Pastry,पेस्ट्री
Biscuit,बिस्कुट
Snack,नाश्ता
Lunch,दोपहर का भोजन
Dinner,रात का भोजन
Breakfast,नाश्ता
Kitchen,रसोई
Cook,पकाना
Chef,रसोइया
Plate,थाली
Bowl,कटोरा
Cup,कप
Glass,गिलास
Spoon,चम्मच
Fork,कांटा
Knife,चाकू
Stove,चूल्हा
Gas,गैस
Fire,आग
Smoke,धुआँ
Heat,गर्मी
Cold,ठंड
Ice,बर्फ
Snow,बर्फ
Rain,बारिश
Cloud,बादल
Thunder,गर्जना
Lightning,बिजली
Weather,मौसम
Season,ऋतु
Spring,वसंत
Summer,गर्मी
Autumn,पतझड़
Winter,सर्दी
Morning,सुबह
Afternoon,दोपहर
Evening,शाम
Night,रात
Today,आज
Tomorrow,कल
Yesterday,बीता कल
Week,सप्ताह
Month,महीना
Year,साल
Time,समय
Hour,घंटा
Minute,मिनट
Second,सेकंड
Clock,घड़ी
Calendar,पंचांग
Festival,त्योहार
Holiday,छुट्टी
Work,काम
Job,नौकरी
Office,कार्यालय
Company,कंपनी
Business,व्यवसाय
Industry,उद्योग
Factory,कारखाना
Worker,मज़दूर
Manager,प्रबंधक
Engineer,अभियंता
Farmer,किसान
Driver,चालक
Pilot,वैमानिक
Artist,कलाकार
Singer,गायक
Actor,अभिनेता
Writer,लेखक
Poet,कवि
Scientist,वैज्ञानिक
Doctor,डॉक्टर
Nurse,नर्स
Lawyer,वकील
Judge,न्यायाधीश
Police,पुलिस
Soldier,सैनिक
Leader,नेता
Minister,मंत्री
President,राष्ट्रपति
Prime Minister,प्रधानमंत्री
King,राजा
Queen,रानी
Religion,धर्म
God,भगवान
Temple,मंदिर
Mosque,मस्जिद
Church,गिरजाघर
Prayer,प्रार्थना
Faith,विश्वास
Belief,आस्था
Spirit,आत्मा
Soul,आत्मा
Diwali,दीवाली
Holi,होली
Eid,ईद
Christmas,क्रिसमस
New Year,नया साल
Birthday,जन्मदिन
Anniversary,वर्षगाँठ
Celebration,उत्सव
Party,पार्टी
Function,समारोह
Event,कार्यक्रम
Music,संगीत
Song,गीत
Dance,नृत्य
Play,नाटक
Movie,फ़िल्म
Film,फ़िल्म
Cinema,सिनेमा
Actress,अभिनेत्री
Director,निर्देशक
Producer,निर्माता
Audience,दर्शक
Stage,मंच
Screen,पर्दा
Camera,कैमरा
Picture,चित्र
Photo,फ़ोटो
Image,छवि
Art,कला
Painting,चित्रकला
Drawing,चित्र
Color,रंग
Red,लाल
Blue,नीला
Green,हरा
Yellow,पीला
Black,काला
White,सफ़ेद
Brown,भूरा
Pink,गुलाबी
Purple,बैंगनी
Gray,धूसर
Road,सड़क
Street,गली
Highway,राजमार्ग
Path,पगडंडी
Journey,यात्रा
Travel,सफ़र
Trip,यात्रा
Tour,भ्रमण
Guide,मार्गदर्शक
Map,नक्शा
Direction,दिशा
North,उत्तर
South,दक्षिण
East,पूर्व
West,पश्चिम
Left,बायाँ
Right,दायाँ
Straight,सीधा
Turn,मुड़ना
Stop,रुकना
Go,जाना
Come,आना
Move,चलना
Stay,रुकना
Sit,बैठना
Stand,खड़ा होना
Walk,चलना
Run,दौड़ना
Jump,कूदना
Climb,चढ़ना
Fall,गिरना
Open,खोलना
Close,बंद करना
Start,शुरू करना
Finish,समाप्त करना
Begin,आरंभ करना
End,अंत
Continue,जारी रखना
Break,विराम
Rest,आराम
Sleep,सोना
Wake,जागना
Dream,सपना
Think,सोचना
Know,जानना
Understand,समझना
Remember,याद रखना
Forget,भूलना
Believe,विश्वास करना
Hope,आशा करना
Fear,डरना
Love,प्यार करना
