e52,e23,x38,xv38,vinqi
CONSECUTIVE_SERIAL_NUMBER,consecutiwe_serial_number,konsekutiwe_sxrial_numbxr,,अनुक्रमांक
DEADDICTION,deaddiction,deaddiktion,,नशामुक्ति
FALSE,false,false,,अलीक
METRA,metra,metra,,बच्चेदानी
MID_ROOM,mid_room,mid_room,,मध्य_कक्ष
OCT-24,oct-24,okt-24,,२४ अक्टूबर
RALLICAR,rallicar,rallikar,,ताँगा
TRUE,true,true,,अटल
A,a,a,,ए अक्षर
A.D.,a.d.,a.d.,,ईस्वी
A1,a1,a1,,बहुत ही अच्छा
A2,a2,a2,,विटामिन ए टू
AA,aa,aa,,ए ए
AAYURVEDIC,aayurwedic,aayurwedik,,आयुर्वेदिक
AB,ab,ab,,उदर मांसपेशी
ABA,aba,aba,,अबा
ABACA,abaca,abaka,,अबाका
ABACINATE,abacinate,abasinate,,जलती सलाख़ों से अंधा करना
ABACK,aback,abak,,चकित
ABACTINAL,abactinal,abaktinal,,पृष्ठीय
ABACTION,abaction,abaktion,,पशु की चोरी
ABACTOR,abactor,abaktor,,पशु चोर
ABACUS,abacus,abakus,,गिनतारा
ABADA,abada,abada,,मादा गैण्डा
ABADAN,abadan,abadan,,अबादान
ABAFT,abaft,abaft,,पीछे
ABALIENATION,abalienation,abalienation,,आगमपत्र या कवाले का संक्रामण
ABALONE,abalone,abalone,,कनसीपी
ABAMP,abamp,abamp,,ऐबेम्प
ABAMPERE,abampere,abampxre,,ऐबेंपियर
ABANDON,abandon,abandon,,उन्माद
ABANDONED,abandoned,abandoned,,उच्छृंकल
ABANDONEE,abandonee,abandonee,,त्यक्ता
ABANDONMENT,abandonment,abandonment,,त्यजन
ABARTICULATION,abarticulation,abartikulation,,चलसंधिता
ABASE,abase,abase,,अपमानित करना
ABASEMENT,abasement,abasement,,अधोगति
ABASH,abash,abash,,शर्मिंदा करना
ABASHED,abashed,abashed,,लज्जित
ABASHMENT,abashment,abashment,,संकोच
ABASIA,abasia,abasia,,गति असमर्थता
ABASIC,abasic,abasik,,चलन अक्षमता संबंधी
ABATABLE,abatable,abatable,,उपशमनीय
ABATE,abate,abate,,कम करना
ABATED,abated,abated,,उपशमित
ABATEMENT,abatement,abatement,,उपशमन
ABATIC,abatic,abatik,,चलन अक्षमता संबंधी
ABATIS,abatis,abatis,,झाड़बंदी
ABATOR,abator,abator,,उपशामक
ABATTIS,abattis,abattis,,झाड़बंदी
ABATTOIR,abattoir,abattoir,,कसाईखाना
ABAXIAL,abaxial,abaxial,,अपाक्ष
ABAYA,abaya,abaya,,अबया
ABBACY,abbacy,abbasi,,मठाधीश की पदावधि
ABBATIAL,abbatial,abbatial,,मठाध्यक्षीय
ABBE,abbe,abbe,,ऐबे
ABBESS,abbess,abbess,,मठाध्यक्षा
ABBEY,abbey,abbey,,ईसाइयो का मठ
ABBOT,abbot,abbot,,मठाध्यक्ष
ABBREVIATE,abbrewiate,abbriyuiate,,संक्षिप्त करना
ABBREVIATED,abbrewiated,abbriyuiated,,लघुकृत
ABBREVIATION,abbrewiation,abbriyuiation,,लघु रूप
ABBREVIATOR,abbrewiator,abbriyuiator,,संक्षेपकार
ABC,abc,abk,,प्राथमिक ज्ञान
ABCOULOMB,abcoulomb,abkoulomb,,एबकूलौम्ब
ABCS,abcs,abks,,प्राथमिक ज्ञान
ABDIAS,abdias,abdias,,एब्डायस
ABDICABLE,abdicable,abdikable,,त्याज्य
ABDICATE,abdicate,abdikate,,गद्दी छोड़ देना
ABDICATION,abdication,abdikation,,पद त्याग
ABDICATOR,abdicator,abdikator,,त्याग करने वाला
ABDOMEN,abdomen,abdomen,,उदर गह्वर
